Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.081169,0.0021174,-0.095903,0,0,0,2.6044,0.0048774,-4.1979E-07,9.09E-06,0.0056126,-3.2255E-07,0.0098576,0,0,0,0,0,0,package://model/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://model/meshes/base_link.STL,,Body(fixed)-1,model,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.045553,-0.06062,0.0031624,0,0,0,0.060681,1.7187E-05,-1.6485E-08,-1.5645E-07,1.5791E-05,2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://model/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://model/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.0088681,0.084404,-0.1235,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LFW,0.015,0,0,0,0,0,0.23932,0.00030041,-3.498E-37,-2.0379E-37,0.00016815,2.5027E-39,0.00016815,0,0,0,0,0,0,package://model/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://model/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.069801,0.015044,0,0,0,LFS,1,0,0,,,,,,,,,,,,
RFS,-0.019176,-0.060658,0.052192,0,0,0,0.060681,1.7187E-05,-1.6485E-08,1.5645E-07,1.5791E-05,-2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://model/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://model/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.057897,-0.11078,-0.1235,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.23932,0.00030041,-3.498E-37,-1.35E-23,0.00016815,2.5027E-39,0.00016815,0,0,0,0,0,0,package://model/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://model/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.069799,0.064073,0,0,0,RFS,1,0,0,,,,,,,,,,,,
LBS,0,-0.074083,-2.7756E-17,0,0,0,0.2491,0.0001269,-3.8633E-20,-1.4501E-13,0.00015557,-3.1934E-20,0.00012707,0,0,0,0,0,0,package://model/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://model/meshes/LBS.STL,,ball_sus-1,Origin_LBS,Axis_LBS,LBS,prismatic,-0.15682,0.13,-0.1235,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LBW,0,0,-2.77555756156289E-17,0,0,0,0.175020843969803,4.38252193300387E-05,-7.23866843780144E-39,5.11152697542854E-41,4.41752610179783E-05,-7.44886776973365E-40,4.38252193300387E-05,0,0,0,0,0,0,package://model/meshes/LBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.0948,0,0,0,-1.5708,LBS,0,1,0,,,,,,,,,,,,
RBS,1.04083408558608E-17,-0.074082955009898,0,0,0,0,0.249098381596498,0.000126903429659009,4.81515170760882E-21,-1.45013679412103E-13,0.000155566169476371,-3.21543682402525E-20,0.000127067954523872,0,0,0,0,0,0,package://model/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model/meshes/RBS.STL,,ball_sus-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.15682,-0.13,-0.1235,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RBW,2.7756E-17,1.0408E-17,0,0,0,0,0.17502,4.3825E-05,1.8482E-38,5.1115E-41,4.4175E-05,-2.7002E-40,4.3825E-05,0,0,0,0,0,0,package://model/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://model/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.0948,0,0,0,-1.5708,RBS,0,1,0,,,,,,,,,,,,
fcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0181E-09,2.1758E-08,4.2948E-06,-8.8579E-10,2.2106E-05,0,0,0,0,0,0,package://model/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://model/meshes/fcam.STL,,Webcam_C920-1,fcam,,fcam,fixed,0.033176,0,-0.015008,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0183E-09,2.1758E-08,4.2948E-06,-8.8548E-10,2.2106E-05,0,0,0,0,0,0,package://model/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://model/meshes/bcam.STL,,Webcam_C920-2,bcam,,bcam,fixed,0.024595,0,-0.050288,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523,0.00046196,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://model/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://model/meshes/Lidar.STL,,RPLidar-1,lidar,,Lidar,fixed,-0.1494,-0.00099405,0.0565,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://model/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model/meshes/imu.STL,,IMU-2,imu,,imu,fixed,-0.0063056,-0.0012093,0.005,0,0,0,base_link,0,0,0,,,,,,,,,,,,
